check_name,total_checks
Column (or column subset) QSSTRESC contains ISO 8601 durations.,1
Column (or subset of a column) QSSTRESC is consistent with a specified decimal like : 5.1.,15
Column (or subset of a column) SCORRES is consistent with a specified decimal like : 5.1.,2
Column (or subset of a column) SCSTRESN is consistent with a specified decimal like : 5.1.,2
Column (or subset of a column) VISITNUM is consistent with a specified decimal like : 5.1.,1
"Column AGE drawn from the integers 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120.",1
Column AGE exists.,1
Column AGE is complete.,1
Column BRTHDTC exists.,1
Column BRTHDTC is complete.,1
Column BRTHDTC is ISO8601 date compliant.,1
Column BRTHDTC is not empty,1
Column contains only integers,6
Column DOMAIN exists.,4
Column elements in codelist named BPSURG.,1
Column elements in codelist named BPSURGTM.,1
Column elements in codelist named CGI.,1
Column elements in codelist named EDLEVEL.,1
Column elements in codelist named EMPSTAT.,1
Column elements in codelist named GENIDENT.,1
Column elements in codelist named HHINCOME.,1
Column elements in codelist named HTUNIT.,2
Column elements in codelist named LIKERT3A.,1
Column elements in codelist named LIKERT3B.,2
Column elements in codelist named LIKERT4A.,4
Column elements in codelist named LIKERT5A.,8
Column elements in codelist named LIKERT5B.,8
Column elements in codelist named LIKERT5C.,1
Column elements in codelist named LIKERT5D.,1
Column elements in codelist named LIKERT5E.,4
Column elements in codelist named LIKERT5F.,2
Column elements in codelist named LIKERT5G.,6
Column elements in codelist named LIKERT5H.,5
Column elements in codelist named MARISTAT.,1
Column elements in codelist named METHOD.,2
Column elements in codelist named NA.,4
Column elements in codelist named NY.,6
Column elements in codelist named NYNA.,2
Column elements in codelist named NYUNA.,1
Column elements in codelist named SLIDE11A.,2
Column elements in codelist named SLIDE11B.,2
Column elements in codelist named TIME5A.,1
Column elements in codelist named WTUNIT.,2
Column elements in codelist named YN.,7
Column elements in codelist.,14
Column ETHNIC exists.,1
Column ETHNIC is complete.,1
Column EXACN exists.,1
Column EXCAT exists.,1
Column EXCAT is complete.,1
Column EXDOSE exists.,1
Column EXDOSEU exists.,1
Column EXDTC is ISO8601 date compliant.,1
Column EXDY exists.,1
Column EXDY is complete.,1
Column EXEVLINT exists.,1
Column EXEVLINT is complete.,1
Column EXROUTE exists.,1
Column EXSEQ exists.,1
Column EXSEQ is complete.,1
Column EXTRT exists.,1
Column EXTRT is complete.,1
Column EXTRTOTH exists.,1
Column EXTRTOTH is complete.,1
Column QSCAT exists.,1
Column QSCAT is complete.,1
Column QSDRVFL is complete.,1
Column QSDTC is complete.,1
Column QSDTC is ISO8601 date compliant.,1
Column QSDY is complete.,1
Column QSEVLNT is complete.,1
Column QSSCAT exists.,1
Column QSSCAT is complete.,1
Column QSSEQ exists.,1
Column QSSEQ is complete.,1
Column QSSTRESN is complete.,1
Column QSTEST exists.,1
Column QSTEST is complete.,1
Column QSTESTCD exists.,1
Column QSTESTCD is complete.,1
Column RACE exists.,1
Column RACE is complete.,1
Column RACEMULT exists.,1
Column RFPENDTC exists.,1
Column RFPENDTC is complete.,1
Column RFPENDTC is ISO8601 date compliant.,1
Column RFPENDTC is not empty,1
Column RFSTDTC exists.,1
Column RFSTDTC is complete.,1
Column RFSTDTC is ISO8601 date compliant.,1
Column RFSTDTC is not empty,1
Column SCSEQ exists.,1
Column SCSEQ is complete.,1
Column SCTEST exists.,1
Column SCTEST is complete.,1
Column SCTESTCD exists.,1
Column SCTESTCD is complete.,1
Column SEX exists.,1
Column SEX is complete.,1
Column STUDYID exists.,4
Column type is floating point,2
Column type is numeric,2
Column type is text,33
Column USUBJID exists.,4
Column USUBJID is complete.,4
Column VISIT exists.,1
Column VISIT is complete.,2
Column VISITNUM exists.,1
Column VISITNUM is complete.,2
DOMAIN column is homogeneous.,4
Known DOMAIN,4
STUDYID column is homogeneous.,4
